iter 159430, train , nav_error: 0.7127, oracle_error: 0.5577, steps: 26.6733, lengths: 10.3371, cls: 0.9082, ndtw: 0.8512, sdtw: 0.8320, success_rate: 0.9404, oracle_rate: 0.9547, spl: 0.9181, val_seen , nav_error: 4.0794, oracle_error: 2.6303, steps: 37.0098, lengths: 13.9205, cls: 0.6754, ndtw: 0.5679, sdtw: 0.4798, success_rate: 0.6219, oracle_rate: 0.6993, spl: 0.5817, val_unseen , nav_error: 4.6917, oracle_error: 2.9548, steps: 45.4874, lengths: 16.1892, cls: 0.5967, ndtw: 0.4688, sdtw: 0.3820, success_rate: 0.5539, oracle_rate: 0.6475, spl: 0.4939
BEST RESULT TILL NOW: val_seen | Iter 159430 iter 159430, train , nav_error: 0.7127, oracle_error: 0.5577, steps: 26.6733, lengths: 10.3371, cls: 0.9082, ndtw: 0.8512, sdtw: 0.8320, success_rate: 0.9404, oracle_rate: 0.9547, spl: 0.9181, val_seen , nav_error: 4.0794, oracle_error: 2.6303, steps: 37.0098, lengths: 13.9205, cls: 0.6754, ndtw: 0.5679, sdtw: 0.4798, success_rate: 0.6219, oracle_rate: 0.6993, spl: 0.5817, val_unseen , nav_error: 4.6917, oracle_error: 2.9548, steps: 45.4874, lengths: 16.1892, cls: 0.5967, ndtw: 0.4688, sdtw: 0.3820, success_rate: 0.5539, oracle_rate: 0.6475, spl: 0.4939
BEST RESULT TILL NOW: val_unseen | Iter 159430 iter 159430, train , nav_error: 0.7127, oracle_error: 0.5577, steps: 26.6733, lengths: 10.3371, cls: 0.9082, ndtw: 0.8512, sdtw: 0.8320, success_rate: 0.9404, oracle_rate: 0.9547, spl: 0.9181, val_seen , nav_error: 4.0794, oracle_error: 2.6303, steps: 37.0098, lengths: 13.9205, cls: 0.6754, ndtw: 0.5679, sdtw: 0.4798, success_rate: 0.6219, oracle_rate: 0.6993, spl: 0.5817, val_unseen , nav_error: 4.6917, oracle_error: 2.9548, steps: 45.4874, lengths: 16.1892, cls: 0.5967, ndtw: 0.4688, sdtw: 0.3820, success_rate: 0.5539, oracle_rate: 0.6475, spl: 0.4939
iter 159604, train , nav_error: 0.7397, oracle_error: 0.5375, steps: 27.0508, lengths: 10.5409, cls: 0.9060, ndtw: 0.8473, sdtw: 0.8278, success_rate: 0.9383, oracle_rate: 0.9560, spl: 0.9131, val_seen , nav_error: 4.0803, oracle_error: 2.5768, steps: 36.7189, lengths: 13.7749, cls: 0.6751, ndtw: 0.5630, sdtw: 0.4837, success_rate: 0.6288, oracle_rate: 0.7140, spl: 0.5888, val_unseen , nav_error: 4.6845, oracle_error: 2.8782, steps: 46.5470, lengths: 16.6760, cls: 0.5894, ndtw: 0.4586, sdtw: 0.3732, success_rate: 0.5496, oracle_rate: 0.6624, spl: 0.4831
BEST RESULT TILL NOW: val_seen | Iter 159604 iter 159604, train , nav_error: 0.7397, oracle_error: 0.5375, steps: 27.0508, lengths: 10.5409, cls: 0.9060, ndtw: 0.8473, sdtw: 0.8278, success_rate: 0.9383, oracle_rate: 0.9560, spl: 0.9131, val_seen , nav_error: 4.0803, oracle_error: 2.5768, steps: 36.7189, lengths: 13.7749, cls: 0.6751, ndtw: 0.5630, sdtw: 0.4837, success_rate: 0.6288, oracle_rate: 0.7140, spl: 0.5888, val_unseen , nav_error: 4.6845, oracle_error: 2.8782, steps: 46.5470, lengths: 16.6760, cls: 0.5894, ndtw: 0.4586, sdtw: 0.3732, success_rate: 0.5496, oracle_rate: 0.6624, spl: 0.4831
BEST RESULT TILL NOW: val_unseen | Iter 159604 iter 159604, train , nav_error: 0.7397, oracle_error: 0.5375, steps: 27.0508, lengths: 10.5409, cls: 0.9060, ndtw: 0.8473, sdtw: 0.8278, success_rate: 0.9383, oracle_rate: 0.9560, spl: 0.9131, val_seen , nav_error: 4.0803, oracle_error: 2.5768, steps: 36.7189, lengths: 13.7749, cls: 0.6751, ndtw: 0.5630, sdtw: 0.4837, success_rate: 0.6288, oracle_rate: 0.7140, spl: 0.5888, val_unseen , nav_error: 4.6845, oracle_error: 2.8782, steps: 46.5470, lengths: 16.6760, cls: 0.5894, ndtw: 0.4586, sdtw: 0.3732, success_rate: 0.5496, oracle_rate: 0.6624, spl: 0.4831
iter 159699, train , nav_error: 0.7029, oracle_error: 0.5345, steps: 26.5143, lengths: 10.2992, cls: 0.9100, ndtw: 0.8526, sdtw: 0.8326, success_rate: 0.9400, oracle_rate: 0.9558, spl: 0.9171, val_seen , nav_error: 4.1334, oracle_error: 2.6759, steps: 34.7453, lengths: 13.1593, cls: 0.6767, ndtw: 0.5665, sdtw: 0.4765, success_rate: 0.6141, oracle_rate: 0.6895, spl: 0.5755, val_unseen , nav_error: 4.8039, oracle_error: 2.9626, steps: 40.6232, lengths: 14.8087, cls: 0.6046, ndtw: 0.4697, sdtw: 0.3836, success_rate: 0.5534, oracle_rate: 0.6513, spl: 0.4989
BEST RESULT TILL NOW: val_seen | Iter 159604 iter 159604, train , nav_error: 0.7397, oracle_error: 0.5375, steps: 27.0508, lengths: 10.5409, cls: 0.9060, ndtw: 0.8473, sdtw: 0.8278, success_rate: 0.9383, oracle_rate: 0.9560, spl: 0.9131, val_seen , nav_error: 4.0803, oracle_error: 2.5768, steps: 36.7189, lengths: 13.7749, cls: 0.6751, ndtw: 0.5630, sdtw: 0.4837, success_rate: 0.6288, oracle_rate: 0.7140, spl: 0.5888, val_unseen , nav_error: 4.6845, oracle_error: 2.8782, steps: 46.5470, lengths: 16.6760, cls: 0.5894, ndtw: 0.4586, sdtw: 0.3732, success_rate: 0.5496, oracle_rate: 0.6624, spl: 0.4831
BEST RESULT TILL NOW: val_unseen | Iter 159699 iter 159699, train , nav_error: 0.7029, oracle_error: 0.5345, steps: 26.5143, lengths: 10.2992, cls: 0.9100, ndtw: 0.8526, sdtw: 0.8326, success_rate: 0.9400, oracle_rate: 0.9558, spl: 0.9171, val_seen , nav_error: 4.1334, oracle_error: 2.6759, steps: 34.7453, lengths: 13.1593, cls: 0.6767, ndtw: 0.5665, sdtw: 0.4765, success_rate: 0.6141, oracle_rate: 0.6895, spl: 0.5755, val_unseen , nav_error: 4.8039, oracle_error: 2.9626, steps: 40.6232, lengths: 14.8087, cls: 0.6046, ndtw: 0.4697, sdtw: 0.3836, success_rate: 0.5534, oracle_rate: 0.6513, spl: 0.4989
iter 159854, train , nav_error: 0.7003, oracle_error: 0.5195, steps: 26.8650, lengths: 10.4377, cls: 0.9095, ndtw: 0.8513, sdtw: 0.8323, success_rate: 0.9418, oracle_rate: 0.9578, spl: 0.9173, val_seen , nav_error: 4.0784, oracle_error: 2.6045, steps: 35.9785, lengths: 13.5719, cls: 0.6773, ndtw: 0.5647, sdtw: 0.4762, success_rate: 0.6229, oracle_rate: 0.7081, spl: 0.5821, val_unseen , nav_error: 4.5966, oracle_error: 2.8072, steps: 44.4172, lengths: 16.0306, cls: 0.6002, ndtw: 0.4680, sdtw: 0.3852, success_rate: 0.5636, oracle_rate: 0.6713, spl: 0.5020
BEST RESULT TILL NOW: val_seen | Iter 159604 iter 159604, train , nav_error: 0.7397, oracle_error: 0.5375, steps: 27.0508, lengths: 10.5409, cls: 0.9060, ndtw: 0.8473, sdtw: 0.8278, success_rate: 0.9383, oracle_rate: 0.9560, spl: 0.9131, val_seen , nav_error: 4.0803, oracle_error: 2.5768, steps: 36.7189, lengths: 13.7749, cls: 0.6751, ndtw: 0.5630, sdtw: 0.4837, success_rate: 0.6288, oracle_rate: 0.7140, spl: 0.5888, val_unseen , nav_error: 4.6845, oracle_error: 2.8782, steps: 46.5470, lengths: 16.6760, cls: 0.5894, ndtw: 0.4586, sdtw: 0.3732, success_rate: 0.5496, oracle_rate: 0.6624, spl: 0.4831
BEST RESULT TILL NOW: val_unseen | Iter 159854 iter 159854, train , nav_error: 0.7003, oracle_error: 0.5195, steps: 26.8650, lengths: 10.4377, cls: 0.9095, ndtw: 0.8513, sdtw: 0.8323, success_rate: 0.9418, oracle_rate: 0.9578, spl: 0.9173, val_seen , nav_error: 4.0784, oracle_error: 2.6045, steps: 35.9785, lengths: 13.5719, cls: 0.6773, ndtw: 0.5647, sdtw: 0.4762, success_rate: 0.6229, oracle_rate: 0.7081, spl: 0.5821, val_unseen , nav_error: 4.5966, oracle_error: 2.8072, steps: 44.4172, lengths: 16.0306, cls: 0.6002, ndtw: 0.4680, sdtw: 0.3852, success_rate: 0.5636, oracle_rate: 0.6713, spl: 0.5020
iter 159956, train , nav_error: 0.7268, oracle_error: 0.5435, steps: 26.8989, lengths: 10.4182, cls: 0.9070, ndtw: 0.8490, sdtw: 0.8294, success_rate: 0.9386, oracle_rate: 0.9548, spl: 0.9144, val_seen , nav_error: 4.1824, oracle_error: 2.6591, steps: 35.3262, lengths: 13.5034, cls: 0.6766, ndtw: 0.5693, sdtw: 0.4745, success_rate: 0.6151, oracle_rate: 0.6974, spl: 0.5765, val_unseen , nav_error: 4.6334, oracle_error: 2.8732, steps: 44.9485, lengths: 16.0443, cls: 0.5978, ndtw: 0.4677, sdtw: 0.3843, success_rate: 0.5602, oracle_rate: 0.6633, spl: 0.4998
BEST RESULT TILL NOW: val_seen | Iter 159604 iter 159604, train , nav_error: 0.7397, oracle_error: 0.5375, steps: 27.0508, lengths: 10.5409, cls: 0.9060, ndtw: 0.8473, sdtw: 0.8278, success_rate: 0.9383, oracle_rate: 0.9560, spl: 0.9131, val_seen , nav_error: 4.0803, oracle_error: 2.5768, steps: 36.7189, lengths: 13.7749, cls: 0.6751, ndtw: 0.5630, sdtw: 0.4837, success_rate: 0.6288, oracle_rate: 0.7140, spl: 0.5888, val_unseen , nav_error: 4.6845, oracle_error: 2.8782, steps: 46.5470, lengths: 16.6760, cls: 0.5894, ndtw: 0.4586, sdtw: 0.3732, success_rate: 0.5496, oracle_rate: 0.6624, spl: 0.4831
